27,1,11
47,1,11
47,34,7
73,1,14
95,1,17
95,33,3
117,1,12
130,7,12
130,23,9
159,37,14
173,53,7
173,82,5
192,27,11
215,5,15
215,70,5
227,1,7
253,18,12
253,38,9
263,6,9
290,31,11
290,45,8
316,56,13
331,73,12
331,96,5
350,45,19
376,77,8
376,91,4
392,91,9
414,112,15
414,139,5
425,97,8
441,110,16
441,134,7
458,125,14
484,94,9
484,180,8
511,66,13
536,90,17
536,115,8
547,70,12
568,51,11
568,115,5
590,30,14
611,48,16
611,84,4
639,77,12
660,99,12
660,117,3
684,71,10
697,79,13
697,105,8
718,50,11
738,74,14
738,104,3
757,91,15
781,114,17
781,141,9
802,91,10
820,107,9
820,123,8
840,80,12
854,98,12
854,127,9
877,118,10
889,128,15
889,149,9
905,106,13
921,122,9
921,141,7
939,137,13
964,163,17
964,189,4
974,150,9
1001,178,8
1001,205,7
1030,146,9
1048,158,18
1048,182,7
1063,176,9
1076,186,15
1076,211,8
1099,157,12
1119,176,17
1119,196,4
1139,198,11
1156,213,13
1156,247,6
1169,194,9
1186,210,14
1186,228,7
1198,195,9
1222,216,12
1222,244,6
1239,230,16
1255,247,12
1255,278,6
1271,225,10
1282,233,15
1282,262,3
1312,97,110
