84780,83833,1510
134498,33533,1483
134498,136447,875
134498,137442,1332
175518,74331,1333
175518,78640,1582
247438,146078,1608
247438,148165,798
312005,211019,1201
312005,215608,1802
404948,117281,1538
404948,306068,974
404948,307997,1288
471205,183486,1659
518572,135539,1569
518572,232956,779
518572,234638,1310
573097,189847,1359
573097,193071,1250
630348,247003,1536
630348,249496,827
709368,326327,1159
709368,329933,732
769060,266002,1164
769060,387853,774
769060,390542,1176
844658,341402,1377
914124,410849,1809
914124,413122,855
914124,415683,1831
984492,481351,1507
984492,485767,1460
1023708,441600,1145
1023708,522690,995
1074750,492660,1464
1074750,496040,1164
1108072,525645,1791
1108072,528154,853
1108072,530208,502
1169662,463270,1470
1190489,442550,1193
1190489,486500,552
1190489,488151,1152
1206035,457832,1640
1206035,461116,839
1251190,412172,1297
1251190,505332,800
1295422,456282,1316
1295422,459224,1211
1334461,494968,1980
1334461,497743,575
1334461,499196,595
1419096,579839,1460
1485315,513007,1330
1485315,648696,813
1485315,649232,1510
1518541,479478,1691
1518541,550150,1239
1556965,441406,1278
1556965,520128,512
1605956,490422,1218
1605956,494450,911
1699886,584179,1612
1699886,586144,829
1699886,588877,617
1712968,570206,1417
1755485,612981,1226
1755485,615182,746
1755485,616688,1770
1805777,562145,1216
1805777,667799,1565
1830604,537128,1311
1830604,589207,724
1843320,524166,1487
1843320,552972,1092
1873015,554254,1272
1873015,556031,598
1873015,558215,986
1943905,482773,1212
1978396,448010,1485
1978396,519295,512
1978396,521379,863
2072957,542653,1439
2072957,546767,1521
2112280,582109,1252
2112280,584574,795
2142748,550806,1795
2142748,616215,1751
2200794,492676,1446
2200794,611363,951
2200794,613373,1044
2251851,543942,1599
2294426,500617,1537
2294426,588397,906
2294426,589512,811
2392055,402844,1669
2392055,602871,1801
2490517,501357,1835
2490517,504072,925
2506413,517267,1770
2506413,520379,1777
2559964,570716,1653
2559964,573217,934
2559964,574582,526
2648657,481137,1388
2708381,541228,1446
2708381,542825,997
2708381,544737,1905
2738444,510540,1551
2738444,574172,1162
2813680,585791,1551
2813680,588311,823
2846784,552179,1348
2846784,621846,1482
2932018,637114,1806
2932018,639289,850
2932018,640801,1956
3004454,709839,1033
3041774,746837,1523
3041774,749032,546
3041774,751538,553
3107875,680054,1495
3107875,816507,1323
3122052,694025,1847
3122052,696524,685
3221364,793555,1670
3221364,798126,1062
3231865,782440,1335
3231865,805880,778
3231865,807595,958
3293096,843537,1469
3384283,751489,1757
3384283,937110,927
3384283,938073,1370
3477916,845364,1526
3477916,849082,687
3525506,893051,1119
3525506,895253,886
3609081,976307,1698
3609081,980715,911
3675320,909271,1617
3675320,1044926,647
3675320,1046858,1546
3717513,951343,1454
3728876,939166,1443
3728876,965422,507
3728876,967494,637
3786670,997224,1178
3786670,1000058,1357
3877358,1087762,1374
3877358,1089820,627
3973214,991253,1326
3973214,1186565,1204
4069406,1087190,1733
4069406,1089922,743
4069406,1091408,562
4109277,1127397,1338
4126527,1109486,1352
4126527,1146641,809
4126527,1148578,568
4152061,1135174,1145
4152061,1139028,1967
4169962,1152618,1573
4169962,1154755,794
4252110,1235138,1214
4252110,1238483,797
4320261,1166303,1562
4320261,1305823,642
4320261,1306792,997
4390101,1236015,1572
4428131,1197374,1332
4428131,1276257,992
4428131,1277131,627
4456376,1225671,1490
4456376,1228723,804
4474213,1243243,1761
4474213,1245310,924
4538089,1178459,1803
4538089,1310416,756
4580554,1135937,1732
4580554,1223316,713
4580554,1224393,558
4595427,1121096,1451
4650072,1176031,1383
4650072,1178414,595
4650072,1178973,1991
4699888,1125405,1760
4699888,1229443,1150
4761658,1187068,1883
4761658,1189237,716
4842195,1267931,1123
4842195,1272207,1305
4930668,1356395,1180
4930668,1358019,634
4930668,1359969,1538
4999777,1286306,1625
5055147,1231073,1377
5055147,1343708,919
5055147,1346187,1243
5128514,1304554,1297
5128514,1307845,1199
5163944,1268479,1292
5163944,1342663,594
5224603,1207928,1347
5224603,1333640,1608
5319161,1113091,1416
5319161,1304473,878
5319161,1305887,1761
5372148,1166191,1227
5464480,1258365,1766
5464480,1260255,829
5464480,1262200,1692
5497766,1224402,1283
5497766,1295290,876
5561459,1288163,1254
5561459,1289871,504
5622549,1349314,1068
5622549,1353086,1349
5718547,1445214,1328
5718547,1447627,647
5718547,1448801,1054
5776943,1386061,1708
5804325,1413580,1404
5804325,1415398,763
5804325,1417122,1886
5854986,1361930,1771
5854986,1468477,1521
5866212,1373335,1411
5866212,1375473,533
5907419,1414807,1239
5907419,1417614,748
6006563,1315033,1194
6006563,1515985,878
6006563,1516785,1099
6034125,1342681,1069
6109772,1417912,1733
6109772,1420207,726
6109772,1422218,887
6138786,1447294,1388
6138786,1451261,527
6174121,1411434,1241
6174121,1485053,555
6212803,1450078,1196
6212803,1453845,808
6224964,1462268,1244
6224964,1464242,770
6224964,1465347,1111
6304690,1541876,1339
6363914,1481680,1933
6363914,1603388,746
6363914,1604770,770
6405007,1522884,1624
6405007,1526240,1604
6431885,1549955,1460
6431885,1552437,785
6479339,1501588,1863
6479339,1600810,1510
6550882,1573212,1547
6550882,1575968,762
6550882,1576720,1134
6598909,1524431,1521
6636454,1486841,1664
6636454,1564112,825
6636454,1565909,849
6650473,1472856,1543
6650473,1504840,1760
6670795,1492960,1616
6670795,1495740,613
6713180,1535767,1550
6713180,1539099,629
6743407,1565829,1467
6743407,1568390,890
6743407,1570287,1454
6830426,1478070,1441
6887681,1535466,1367
6887681,1537392,924
6887681,1538821,1313
6946487,1593959,1432
6946487,1598689,661
6965880,1613602,1657
6965880,1616054,895
6975938,1602949,1188
6975938,1627776,846
7013452,1640420,1288
7013452,1642435,800
7013452,1643975,705
7064002,1690699,1622
7125635,1752637,1233
7125635,1754845,783
7125635,1755558,1305
7221318,1655993,1723
7221318,1852586,778
7244011,1678730,1602
7244011,1680857,740
7266267,1701026,1845
7266267,1705186,1458
7333742,1768547,1614
7333742,1770854,709
7333742,1771691,1178
7386570,1713720,2614
